Sheet A Row Index,Sheet B Row Index
76,12,0,2022-03-20 00:00:00,0,0,0,0
77,12,1,2022-03-21 00:00:00,681,98,3,2019-12-04 00:00:00
78,12,2,2022-03-22 00:00:00,682,98,4,2019-12-05 00:00:00
79,12,3,2022-03-23 00:00:00,683,98,5,2019-12-06 00:00:00
80,12,4,2022-03-24 00:00:00,0,1,1,2018-01-22 00:00:00
81,12,5,2022-03-25 00:00:00,1,1,2,2018-01-23 00:00:00
82,12,6,2022-03-26 00:00:00,2,1,3,2018-01-24 00:00:00
83,13,0,2022-03-27 00:00:00,0,0,0,0
84,13,1,2022-03-28 00:00:00,3,1,4,2018-01-25 00:00:00
85,13,2,2022-03-29 00:00:00,4,1,5,2018-01-26 00:00:00
86,13,3,2022-03-30 00:00:00,5,1,6,2018-01-27 00:00:00
87,13,4,2022-03-31 00:00:00,7,2,1,2018-01-29 00:00:00
88,13,5,2022-04-01 00:00:00,8,2,2,2018-01-30 00:00:00
89,13,6,2022-04-02 00:00:00,9,2,3,2018-01-31 00:00:00
90,14,0,2022-04-03 00:00:00,0,0,0,0
91,14,1,2022-04-04 00:00:00,10,2,4,2018-02-01 00:00:00
92,14,2,2022-04-05 00:00:00,11,2,5,2018-02-02 00:00:00
93,14,3,2022-04-06 00:00:00,12,2,6,2018-02-03 00:00:00
94,14,4,2022-04-07 00:00:00,14,3,1,2018-02-05 00:00:00
95,14,5,2022-04-08 00:00:00,15,3,2,2018-02-06 00:00:00
96,14,6,2022-04-09 00:00:00,16,3,3,2018-02-07 00:00:00
97,15,0,2022-04-10 00:00:00,0,0,0,0
98,15,1,2022-04-11 00:00:00,17,3,4,2018-02-08 00:00:00
99,15,2,2022-04-12 00:00:00,18,3,5,2018-02-09 00:00:00
100,15,3,2022-04-13 00:00:00,19,3,6,2018-02-10 00:00:00
101,15,4,2022-04-14 00:00:00,21,4,1,2018-02-12 00:00:00
102,15,5,2022-04-15 00:00:00,22,4,2,2018-02-13 00:00:00
103,15,6,2022-04-16 00:00:00,23,4,3,2018-02-14 00:00:00
104,16,0,2022-04-17 00:00:00,0,0,0,0
105,16,1,2022-04-18 00:00:00,24,4,4,2018-02-15 00:00:00
106,16,2,2022-04-19 00:00:00,25,4,5,2018-02-16 00:00:00
107,16,3,2022-04-20 00:00:00,26,4,6,2018-02-17 00:00:00
108,16,4,2022-04-21 00:00:00,28,5,1,2018-02-19 00:00:00
109,16,5,2022-04-22 00:00:00,29,5,2,2018-02-20 00:00:00
110,16,6,2022-04-23 00:00:00,30,5,3,2018-02-21 00:00:00
111,17,0,2022-04-24 00:00:00,0,0,0,0
112,17,1,2022-04-25 00:00:00,31,5,4,2018-02-22 00:00:00
113,17,2,2022-04-26 00:00:00,32,5,5,2018-02-23 00:00:00
114,17,3,2022-04-27 00:00:00,33,5,6,2018-02-24 00:00:00
115,17,4,2022-04-28 00:00:00,35,6,1,2018-02-26 00:00:00
116,17,5,2022-04-29 00:00:00,36,6,2,2018-02-27 00:00:00
117,17,6,2022-04-30 00:00:00,37,6,3,2018-02-28 00:00:00
118,18,0,2022-05-01 00:00:00,0,0,0,0
119,18,1,2022-05-02 00:00:00,38,6,4,2018-03-01 00:00:00
120,18,2,2022-05-03 00:00:00,39,6,5,2018-03-02 00:00:00
121,18,3,2022-05-04 00:00:00,40,6,6,2018-03-03 00:00:00
122,18,4,2022-05-05 00:00:00,42,7,1,2018-03-05 00:00:00
123,18,5,2022-05-06 00:00:00,43,7,2,2018-03-06 00:00:00
124,18,6,2022-05-07 00:00:00,44,7,3,2018-03-07 00:00:00
125,19,0,2022-05-08 00:00:00,0,0,0,0
126,19,1,2022-05-09 00:00:00,45,7,4,2018-03-08 00:00:00
127,19,2,2022-05-10 00:00:00,46,7,5,2018-03-09 00:00:00
