col1,col2
78,2023-07-02
79,2023-07-09
80,2023-07-16
81,2023-07-23
82,2023-07-30
83,2023-08-06
84,2023-08-13
85,2023-08-20
86,2023-08-27
87,2023-09-03
88,2023-09-10
89,2023-09-17
90,2023-09-24
91,2023-10-01
92,2023-10-08
93,2023-10-15
94,2023-10-22
95,2023-10-29
96,2023-11-05
97,2023-11-12
98,2023-11-19
99,2023-11-26
100,2023-12-03
101,2023-12-10
102,2023-12-17
103,2023-12-24
104,2023-12-31
