col1,col2,col3,col4,col5,col6,col7,col8
0,1,1,2022-01-03,0,1,1,2020-01-06
1,1,2,2022-01-04,1,1,2,2020-01-07
2,1,3,2022-01-05,2,1,3,2020-01-08
3,1,4,2022-01-06,3,1,4,2020-01-09
4,1,5,2022-01-07,4,1,5,2020-01-10
5,1,6,2022-01-08,5,1,6,2020-01-11
7,2,1,2022-01-10,7,2,1,2020-01-13
8,2,2,2022-01-11,8,2,2,2020-01-14
9,2,3,2022-01-12,9,2,3,2020-01-15
